iter	Passed	Remaining
760	10313	3239
761	10327	3225
762	10341	3212
763	10355	3198
764	10368	3185
765	10382	3171
766	10394	3157
767	10407	3144
768	10422	3130
769	10435	3117
770	10449	3103
771	10461	3089
772	10475	3076
773	10488	3062
774	10501	3048
775	10515	3035
776	10529	3022
777	10543	3008
778	10556	2994
779	10571	2981
780	10584	2968
781	10598	2954
782	10620	2943
783	10634	2929
784	10648	2916
785	10662	2903
786	10675	2889
787	10690	2876
788	10703	2862
789	10717	2848
790	10731	2835
791	10744	2821
792	10757	2808
793	10770	2794
794	10784	2780
795	10796	2766
796	10808	2753
797	10821	2739
798	10834	2725
799	10847	2711
800	10860	2698
801	10874	2684
802	10886	2670
803	10901	2657
804	10917	2644
805	10931	2631
806	10944	2617
807	10957	2603
808	10969	2589
809	10983	2576
810	10998	2563
811	11012	2549
812	11026	2536
813	11038	2522
814	11050	2508
815	11063	2494
816	11076	2481
817	11090	2467
818	11104	2454
819	11118	2440
820	11132	2427
821	11146	2413
822	11159	2400
823	11173	2386
824	11187	2373
825	11199	2359
826	11214	2345
827	11229	2332
828	11244	2319
829	11257	2305
830	11270	2292
831	11283	2278
832	11296	2264
833	11309	2251
834	11325	2238
835	11338	2224
836	11351	2210
837	11363	2196
838	11377	2183
839	11390	2169
840	11402	2155
841	11416	2142
842	11429	2128
843	11443	2115
844	11457	2101
845	11470	2088
846	11483	2074
847	11494	2060
848	11507	2046
849	11521	2033
850	11534	2019
851	11550	2006
852	11562	1992
853	11576	1979
854	11589	1965
855	11604	1952
856	11620	1939
857	11636	1925
858	11651	1912
859	11664	1898
860	11676	1885
861	11689	1871
862	11704	1858
863	11720	1844
864	11735	1831
865	11750	1818
866	11765	1804
867	11778	1791
868	11790	1777
869	11803	1763
870	11816	1750
871	11829	1736
872	11842	1722
873	11857	1709
874	11871	1695
875	11883	1682
876	11897	1668
877	11910	1654
878	11923	1641
879	11936	1627
880	11950	1614
881	11964	1600
882	11978	1587
883	11990	1573
884	12003	1559
885	12018	1546
886	12031	1532
887	12044	1519
888	12058	1505
889	12070	1491
890	12082	1478
891	12096	1464
892	12109	1450
893	12124	1437
894	12138	1424
895	12152	1410
896	12167	1397
897	12180	1383
898	12193	1369
899	12205	1356
900	12219	1342
901	12233	1329
902	12247	1315
903	12259	1301
904	12274	1288
905	12287	1274
906	12299	1261
907	12314	1247
908	12328	1234
909	12341	1220
910	12353	1206
911	12366	1193
912	12379	1179
913	12393	1166
914	12405	1152
915	12418	1138
916	12431	1125
917	12444	1111
918	12457	1097
919	12472	1084
920	12484	1070
921	12496	1057
922	12511	1043
923	12526	1030
924	12539	1016
925	12551	1003
926	12566	989
927	12578	975
928	12592	962
929	12605	948
930	12618	935
931	12630	921
932	12643	907
933	12656	894
934	12670	880
935	12685	867
936	12698	853
937	12711	840
938	12725	826
939	12738	813
940	12751	799
941	12763	785
942	12779	772
943	12793	758
944	12807	745
945	12821	731
946	12833	718
947	12845	704
948	12858	691
949	12872	677
950	12889	664
951	12904	650
952	12918	637
953	12937	623
954	12952	610
955	12967	596
956	12982	583
957	12997	569
958	13012	556
959	13028	542
960	13043	529
961	13059	515
962	13074	502
963	13093	488
964	13110	475
965	13125	461
966	13139	448
967	13154	434
968	13167	421
969	13181	407
970	13193	394
971	13208	380
972	13224	366
973	13238	353
974	13253	339
975	13266	326
976	13279	312
977	13292	299
978	13305	285
979	13319	271
980	13332	258
981	13345	244
982	13357	231
983	13370	217
984	13383	203
985	13399	190
986	13412	176
987	13425	163
988	13437	149
989	13450	135
990	13462	122
991	13476	108
992	13488	95
993	13501	81
994	13515	67
995	13530	54
996	13544	40
997	13557	27
998	13570	13
999	13583	0
